Wall time,Step,Value
1611302237.621558,1,0.08017923682928085
1611302269.9501865,2,0.1628246307373047
1611302302.7680953,3,0.2251998335123062
1611302335.792528,4,0.2730877101421356
1611302368.8683505,5,0.3112740218639374
1611302401.556593,6,0.2973152995109558
1611302434.2749228,7,0.2519438862800598
1611302466.8309212,8,0.22916240990161896
1611302500.331423,9,0.2255811244249344
1611302533.0101726,10,0.19494257867336273
1611302565.4622972,11,0.16937528550624847
1611302598.2085693,12,0.1537684202194214
1611302630.8676157,13,0.1459527313709259
1611302663.9266877,14,0.13503971695899963
1611302696.8415346,15,0.11221830546855927
1611302729.5142725,16,0.1253582388162613
1611302761.771754,17,0.09149350970983505
1611302794.3456821,18,0.11074248701334
1611302826.9619381,19,0.0769117921590805
1611302859.7129557,20,0.0807545855641365
1611302892.3891783,21,0.09202204644680023
1611302925.3393955,22,0.09745732694864273
1611302957.7748466,23,0.07061319798231125
1611302990.1081483,24,0.09451115131378174
1611303022.8047144,25,0.08710312843322754
1611303055.036468,26,0.0788799375295639
1611303088.110985,27,0.12103579938411713
1611303121.0944438,28,0.08399850130081177
1611303153.205296,29,0.1035507321357727
1611303185.1382196,30,0.08635571599006653
1611303217.8871894,31,0.0946730524301529
1611303251.8382442,32,0.08170010149478912
1611303284.796922,33,0.09721846133470535
1611303317.2467,34,0.10127948224544525
1611303349.6094353,35,0.10283151268959045
1611303381.942199,36,0.09243820607662201
1611303415.0942636,37,0.08720263093709946
1611303447.2126977,38,0.09130777418613434
1611303480.4739804,39,0.0736270621418953
1611303512.8778048,40,0.07745686918497086
1611303545.886107,41,0.1027909591794014
1611303578.2654934,42,0.10522163659334183
1611303610.7211764,43,0.10996191203594208
1611303643.4949653,44,0.1015954241156578
1611303675.84508,45,0.06685859709978104
1611303707.9394975,46,0.1054849848151207
1611303740.719648,47,0.11018133163452148
1611303772.9119997,48,0.08895423263311386
1611303805.2532022,49,0.08620785921812057
1611303837.3681295,50,0.10608581453561783
1611303869.6912758,51,0.09448197484016418
1611303902.7042322,52,0.12488649040460587
1611303935.252098,53,0.10388121008872986
1611303967.9294758,54,0.11153793334960938
1611304000.4670339,55,0.08968642354011536
1611304033.0707161,56,0.10725583881139755
1611304065.9818082,57,0.09504654258489609
1611304098.3288574,58,0.1214083731174469
1611304130.52939,59,0.06969448924064636
1611304163.3314688,60,0.09796149283647537
1611304195.4643755,61,0.10633860528469086
1611304228.4731083,62,0.09030019491910934
1611304260.6193159,63,0.1290517896413803
1611304293.0545688,64,0.10003606975078583
1611304325.3473146,65,0.09720429033041
1611304357.9355783,66,0.11958925426006317
1611304390.834667,67,0.09702432155609131
1611304423.4985814,68,0.1178099736571312
1611304456.348583,69,0.10120482742786407
1611304489.4442196,70,0.1126667931675911
1611304522.2550576,71,0.11881784349679947
1611304554.852652,72,0.12597964704036713
1611304587.1215756,73,0.12008816003799438
1611304619.9441907,74,0.08561637997627258
1611304652.7559617,75,0.08364137262105942
1611304685.1835458,76,0.11234799772500992
1611304717.4171515,77,0.1367088109254837
1611304749.9560244,78,0.09644607454538345
1611304782.3836706,79,0.1335379034280777
1611304816.0407157,80,0.10343152284622192
1611304848.7532012,81,0.11324407905340195
1611304881.4767206,82,0.09276170283555984
1611304914.107563,83,0.14328990876674652
1611304946.2761734,84,0.09103329479694366
1611304979.259975,85,0.1216396912932396
1611305011.429742,86,0.1086566299200058
1611305044.3103008,87,0.10368766635656357
1611305076.6106012,88,0.10590936243534088
1611305109.5792873,89,0.11846540123224258
1611305142.307382,90,0.12311340868473053
1611305174.7194211,91,0.0872722715139389
1611305207.2963877,92,0.10369931161403656
1611305239.9729748,93,0.1332581788301468
1611305272.600969,94,0.08588430285453796
1611305304.791912,95,0.08489770442247391
1611305337.2519503,96,0.12690569460391998
1611305369.6046243,97,0.1171918585896492
1611305402.046922,98,0.11492512375116348
1611305434.9201288,99,0.09670683741569519
1611305467.6935334,100,0.1090007796883583
1611305500.3664963,101,0.10113611072301865
1611305532.961785,102,0.12648631632328033
1611305565.4648607,103,0.1338656097650528
1611305598.1807137,104,0.09634038805961609
1611305630.8923888,105,0.12135301530361176
1611305663.1379259,106,0.11156661808490753
1611305695.7315836,107,0.14123781025409698
1611305728.068761,108,0.10526072233915329
1611305760.6938546,109,0.10610328614711761
1611305792.8772595,110,0.09890195727348328
1611305825.6490426,111,0.12774860858917236
1611305857.8992577,112,0.11505869030952454
1611305890.697216,113,0.12333481758832932
1611305923.034279,114,0.10771968960762024
1611305955.001653,115,0.11607757210731506
1611305987.50413,116,0.11225864291191101
1611306020.1219015,117,0.10301623493432999
1611306053.1513515,118,0.11734765768051147
1611306085.3509712,119,0.12187791615724564
