Wall time,Step,Value
1611302237.621628,1,5.445441722869873
1611302269.9502625,2,4.209348201751709
1611302302.7682023,3,3.1852426528930664
1611302335.7926152,4,2.588289499282837
1611302368.868418,5,2.2873735427856445
1611302401.5566654,6,2.284468173980713
1611302434.2749937,7,2.5432779788970947
1611302466.8309896,8,2.8646295070648193
1611302500.3314922,9,3.020673990249634
1611302533.0102415,10,3.287191152572632
1611302565.4623647,11,3.5302939414978027
1611302598.2086377,12,3.837989568710327
1611302630.8676848,13,3.9705755710601807
1611302663.9267697,14,4.230067729949951
1611302696.8417754,15,4.4743194580078125
1611302729.5143936,16,4.563409805297852
1611302761.7718236,17,4.846471786499023
1611302794.3457549,18,4.9108710289001465
1611302826.962022,19,5.112249851226807
1611302859.7130425,20,5.397597312927246
1611302892.389248,21,5.625373363494873
1611302925.3394635,22,5.420922756195068
1611302957.774954,23,5.635118007659912
1611302990.108216,24,5.579493522644043
1611303022.8047829,25,5.700284957885742
1611303055.0365353,26,5.648104190826416
1611303088.1111872,27,5.544557571411133
1611303121.0945194,28,5.731233596801758
1611303153.205367,29,5.690864562988281
1611303185.1383011,30,5.67428731918335
1611303217.8872638,31,5.458949565887451
1611303251.8384614,32,5.675452709197998
1611303284.7969935,33,5.747674942016602
1611303317.2467866,34,5.755334377288818
1611303349.6095064,35,5.705822944641113
1611303381.94227,36,5.868145942687988
1611303415.0943468,37,5.954998016357422
1611303447.2128024,38,5.826381683349609
1611303480.4740567,39,6.129387378692627
1611303512.8778872,40,5.846315383911133
1611303545.8861783,41,5.841824054718018
1611303578.2655668,42,5.747676372528076
1611303610.721248,43,5.569500923156738
1611303643.4950342,44,5.801719665527344
1611303675.8451486,45,6.003841400146484
1611303707.9395716,46,5.916384220123291
1611303740.71984,47,5.919917583465576
1611303772.9120674,48,5.989322662353516
1611303805.2532704,49,5.83330774307251
1611303837.3681962,50,5.5559773445129395
1611303869.6914861,51,6.212673187255859
1611303902.7043016,52,5.42561149597168
1611303935.2521658,53,5.700882911682129
1611303967.9295466,54,5.813477516174316
1611304000.4671037,55,5.807337284088135
1611304033.070788,56,5.931035995483398
1611304065.9819016,57,5.886572360992432
1611304098.3289325,58,5.662120819091797
1611304130.529467,59,5.885281562805176
1611304163.3315375,60,5.812932968139648
1611304195.4644418,61,5.803217887878418
1611304228.4731784,62,5.921684741973877
1611304260.6193871,63,5.773036956787109
1611304293.054641,64,5.69452428817749
1611304325.347382,65,5.861510753631592
1611304357.9356456,66,5.54796028137207
1611304390.8347354,67,5.824317932128906
1611304423.4986491,68,5.9474663734436035
1611304456.3486679,69,5.948132038116455
1611304489.4442883,70,5.598808288574219
1611304522.255142,71,5.621372222900391
1611304554.8527222,72,5.658256530761719
1611304587.1216447,73,5.6545000076293945
1611304619.9442651,74,5.8154377937316895
1611304652.7560327,75,5.9257683753967285
1611304685.183651,76,5.862663745880127
1611304717.4173415,77,5.349476337432861
1611304749.9560995,78,5.787954330444336
1611304782.3837812,79,5.826967239379883
1611304816.040788,80,5.377864360809326
1611304848.7532694,81,5.82286262512207
1611304881.4767895,82,6.021208763122559
1611304914.1076326,83,5.543574810028076
1611304946.2762573,84,5.514622211456299
1611304979.2600505,85,5.761312484741211
1611305011.4298096,86,5.8041672706604
1611305044.3104186,87,5.605722904205322
1611305076.610669,88,5.93325662612915
1611305109.579489,89,5.878078460693359
1611305142.3075786,90,5.546796798706055
1611305174.7195296,91,5.936399459838867
1611305207.296492,92,5.863435745239258
1611305239.97308,93,5.576620101928711
1611305272.6010377,94,5.986598014831543
1611305304.7919807,95,5.788271903991699
1611305337.2520196,96,5.784780979156494
1611305369.6046937,97,5.920267105102539
1611305402.0469906,98,5.8070173263549805
1611305434.9202173,99,5.942315578460693
1611305467.6936412,100,5.893717288970947
1611305500.3665667,101,5.945898532867432
1611305532.9620492,102,5.813447952270508
1611305565.4649346,103,5.476650238037109
1611305598.1807816,104,5.797111988067627
1611305630.892457,105,5.7611494064331055
1611305663.1379945,106,5.807057857513428
1611305695.7316535,107,5.640180587768555
1611305728.0688293,108,5.818203449249268
1611305760.6939228,109,5.877402305603027
1611305792.8773277,110,5.9304094314575195
1611305825.6491122,111,5.656742095947266
1611305857.8993275,112,5.6665568351745605
1611305890.6972888,113,5.670991897583008
1611305923.0343497,114,5.750624179840088
1611305955.0017223,115,5.637631416320801
1611305987.5042,116,5.520321846008301
1611306020.1219778,117,5.596282005310059
1611306053.1514232,118,5.642008304595947
1611306085.3510642,119,5.482423305511475
1611306117.7867377,120,5.880622386932373
1611306150.684617,121,5.782114505767822
1611306182.6220481,122,5.670180797576904
1611306214.8346367,123,6.175838947296143
1611306247.0276556,124,5.812132835388184
1611306279.55413,125,6.062758445739746
1611306312.9741297,126,5.842148303985596
1611306345.277988,127,5.886941432952881
1611306377.4291658,128,6.2323174476623535
1611306410.2583427,129,6.0496907234191895
1611306443.3943937,130,6.022583961486816
1611306475.8829157,131,6.0280303955078125
1611306508.2925637,132,5.961023330688477
1611306541.074655,133,5.980296611785889
1611306573.504888,134,5.9271440505981445
1611306606.0109186,135,6.018718242645264
1611306638.9190145,136,6.195586681365967
1611306671.39064,137,6.122505187988281
1611306703.8490293,138,6.035555362701416
1611306736.6108336,139,6.049246788024902
1611306770.2435584,140,6.159360408782959
1611306802.6995575,141,6.312402725219727
1611306834.9244084,142,5.785493850708008
1611306867.748356,143,6.250539302825928
1611306899.755273,144,5.959490776062012
1611306932.6443284,145,6.1715312004089355
1611306965.0564995,146,6.184860706329346
1611306998.2235398,147,6.2457170486450195
1611307030.337674,148,6.261468410491943
1611307063.706966,149,6.143778324127197
1611307096.291435,150,5.829057216644287
1611307128.7541263,151,6.097439765930176
1611307161.2714236,152,6.1045098304748535
1611307193.8376734,153,6.103845596313477
1611307225.991161,154,5.635616779327393
1611307258.0529935,155,5.976384162902832
1611307290.858818,156,6.0589141845703125
1611307324.0422406,157,6.0552496910095215
1611307356.1216598,158,5.836680889129639
1611307389.0703728,159,6.165658473968506
1611307421.8684137,160,6.538233280181885
1611307454.4249208,161,6.207062721252441
1611307487.3438754,162,5.927550792694092
1611307520.5753524,163,6.130775451660156
1611307552.7889018,164,6.0570573806762695
1611307585.467417,165,6.293086051940918
1611307618.3075895,166,5.924727916717529
1611307650.6425889,167,6.094536781311035
1611307683.6707325,168,6.136730670928955
1611307715.8981235,169,6.18565559387207
1611307748.1119945,170,6.566431999206543
1611307780.7109478,171,6.652161598205566
1611307813.1843793,172,6.0848517417907715
1611307846.2991836,173,6.540620803833008
1611307878.6889844,174,6.27235221862793
1611307911.3200107,175,6.349918842315674
1611307943.594816,176,6.694459438323975
1611307976.2482831,177,6.1199541091918945
1611308008.6385465,178,6.381529808044434
1611308040.9100072,179,5.971099376678467
1611308074.1301606,180,6.050874710083008
1611308107.4807584,181,6.290905475616455
1611308139.840795,182,5.96569299697876
1611308172.6931841,183,6.23930025100708
1611308205.4169595,184,6.217783451080322
1611308237.6581903,185,6.342076778411865
1611308270.49776,186,6.76359224319458
1611308303.2180781,187,6.264388561248779
1611308336.0861933,188,6.401591777801514
1611308368.510737,189,6.25795841217041
1611308400.7829206,190,6.199665546417236
1611308433.2395902,191,6.203494548797607
1611308465.8058383,192,6.266030311584473
1611308498.0864964,193,6.560574054718018
1611308531.102904,194,6.510255336761475
1611308563.624868,195,6.151882171630859
1611308596.6362994,196,6.295912742614746
1611308629.3627446,197,6.37296724319458
1611308661.8280504,198,6.636270523071289
1611308694.571363,199,6.482038974761963
1611308726.9936256,200,6.392489910125732
1611308759.495235,201,6.442241191864014
1611308791.755171,202,6.283761978149414
1611308824.0496829,203,6.634544849395752
1611308856.295361,204,6.217092990875244
1611308888.7713807,205,6.806244373321533
1611308921.055448,206,6.512096405029297
1611308953.6299021,207,6.477808952331543
1611308986.6462374,208,6.336901664733887
1611309019.0793092,209,6.147619247436523
1611309051.714977,210,6.1105427742004395
1611309084.0781062,211,6.485971927642822
1611309116.2306545,212,6.338571071624756
1611309148.797174,213,6.29813289642334
1611309181.4623067,214,6.649130821228027
1611309213.509239,215,6.654726028442383
1611309246.3968863,216,6.576916694641113
1611309279.1376386,217,6.734247207641602
1611309311.333206,218,6.501038074493408
1611309343.9871676,219,6.372603893280029
1611309376.40479,220,6.617012977600098
1611309409.2706308,221,6.397347450256348
1611309441.721901,222,6.721924781799316
1611309474.0314631,223,6.326380729675293
1611309506.6869478,224,6.3979010581970215
1611309538.9098825,225,6.0897674560546875
1611309571.1237068,226,6.670543193817139
1611309603.9099634,227,6.6933465003967285
